photograph,row,column,loc,ratio1,ratio2,CFUs,MCH,NP,date,time,treatment,cw/rw
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,g,7,"('g', 7)",ratio1,ratio2,4.469713561944263,0.0,4.469713561944263,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,g,6,"('g', 6)",ratio1,ratio2,33.56501882365692,4.925118339953679,28.63990048370324,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,g,5,"('g', 5)",ratio1,ratio2,0.0,0.0,0.0,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,g,4,"('g', 4)",ratio1,ratio2,4.992585714473592,1.298746959508333,3.6938387549652587,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,g,3,"('g', 3)",ratio1,ratio2,26.91948243344545,3.9637082530449126,22.955774180400535,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,g,2,"('g', 2)",ratio1,ratio2,0.025300265444967527,0.0,0.025300265444967527,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,g,1,"('g', 1)",ratio1,ratio2,5.093786776253462,1.9818541265224563,3.111932649731006,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,12,"('h', 12)",ratio1,ratio2,1.1722456322834953,0.0,1.1722456322834953,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,11,"('h', 11)",ratio1,ratio2,8.188852582354489,3.4914366314055187,4.697415950948971,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,10,"('h', 10)",ratio1,ratio2,0.0,0.0,0.0,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,9,"('h', 9)",ratio1,ratio2,0.008433421814989175,0.0,0.008433421814989175,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,8,"('h', 8)",ratio1,ratio2,3.4830032095905294,1.6192169884779217,1.8637862211126077,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,7,"('h', 7)",ratio1,ratio2,3.1794000242509193,1.2818801158783546,1.8975199083725645,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,6,"('h', 6)",ratio1,ratio2,3.2468673987708327,1.3662143340282464,1.880653064742586,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,5,"('h', 5)",ratio1,ratio2,6.485301375726676,2.3866583736419367,4.0986430020847395,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,4,"('h', 4)",ratio1,ratio2,5.144387307143397,1.5180159266980515,3.6263713804453457,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,3,"('h', 3)",ratio1,ratio2,4.866084387248755,1.9565538610774886,2.9095305261712654,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,2,"('h', 2)",ratio1,ratio2,0.008433421814989175,0.0,0.008433421814989175,date,time,treatment,rotation
P123_type_ratio1_ratio2_dilution_date_treatment_time_rotation.png,h,1,"('h', 1)",ratio1,ratio2,0.0,0.0,0.0,date,time,treatment,rotation
photograph,row,column,loc,CFUs,MCH,NP
controlRL.png,a,12,"('a', 12)",18.269273089667575,6.156825512597222,12.112447577070352
controlRL.png,a,11,"('a', 11)",0.7545129304653458,0.0,0.7545129304653458
controlRL.png,a,10,"('a', 10)",0.12072206887445533,0.0,0.12072206887445533
controlRL.png,a,9,"('a', 9)",11.559138094729098,4.0542494797004585,7.50488861502864
controlRL.png,a,8,"('a', 8)",1.267581723181781,0.0,1.267581723181781
controlRL.png,a,7,"('a', 7)",5.271530340851216,1.8711920675540576,3.4003382732971583
controlRL.png,a,6,"('a', 6)",1.3078224128065994,0.0,1.3078224128065994
controlRL.png,a,5,"('a', 5)",0.8450544821211873,0.0,0.8450544821211873
controlRL.png,a,4,"('a', 4)",0.5331891375288443,0.0,0.5331891375288443
controlRL.png,a,3,"('a', 3)",0.6840917236219135,0.0,0.6840917236219135
controlRL.png,a,2,"('a', 2)",1.1267393094949165,0.0,1.1267393094949165
controlRL.png,a,1,"('a', 1)",10.553120854108636,2.6257049980194034,7.927415856089233
controlRL.png,b,12,"('b', 12)",0.6036103443722767,0.0,0.6036103443722767
controlRL.png,b,11,"('b', 11)",0.01006017240620461,0.0,0.01006017240620461
controlRL.png,b,10,"('b', 10)",0.0,0.0,0.0
controlRL.png,b,9,"('b', 9)",0.01006017240620461,0.0,0.01006017240620461
controlRL.png,b,8,"('b', 8)",0.0,0.0,0.0
controlRL.png,b,7,"('b', 7)",0.0,0.0,0.0
controlRL.png,b,6,"('b', 6)",4.7282810309161665,2.012034481240922,2.716246549675245
controlRL.png,b,5,"('b', 5)",6.820796891406726,1.8913124123664669,4.929484479040259
controlRL.png,b,4,"('b', 4)",0.0,0.0,0.0
controlRL.png,b,3,"('b', 3)",0.0,0.0,0.0
controlRL.png,b,2,"('b', 2)",0.0,0.0,0.0
controlRL.png,b,1,"('b', 1)",0.0,0.0,0.0
controlRL.png,c,12,"('c', 12)",1.5895072401803285,0.0,1.5895072401803285
controlRL.png,c,11,"('c', 11)",0.02012034481240922,0.0,0.02012034481240922
controlRL.png,c,10,"('c', 10)",0.02012034481240922,0.0,0.02012034481240922
controlRL.png,c,9,"('c', 9)",14.416227058091208,3.2494356872040893,11.166791370887118
controlRL.png,c,8,"('c', 8)",10.724143785014116,1.9315531019912853,8.79259068302283
controlRL.png,c,7,"('c', 7)",0.030180517218613832,0.0,0.030180517218613832
controlRL.png,c,6,"('c', 6)",0.0,0.0,0.0
controlRL.png,c,5,"('c', 5)",0.01006017240620461,0.0,0.01006017240620461
controlRL.png,c,4,"('c', 4)",0.01006017240620461,0.0,0.01006017240620461
controlRL.png,c,3,"('c', 3)",0.0,0.0,0.0
controlRL.png,c,2,"('c', 2)",0.01006017240620461,0.0,0.01006017240620461
controlRL.png,c,1,"('c', 1)",0.02012034481240922,0.0,0.02012034481240922
controlRL.png,d,12,"('d', 12)",5.683997409505605,1.861131895147853,3.822865514357752
controlRL.png,d,11,"('d', 11)",0.01006017240620461,0.0,0.01006017240620461
controlRL.png,d,10,"('d', 10)",11.015888784794049,1.6901089642423746,9.325779820551674
controlRL.png,d,9,"('d', 9)",0.04024068962481844,0.0,0.04024068962481844
controlRL.png,d,8,"('d', 8)",1.116679137088712,0.0,1.116679137088712
controlRL.png,d,7,"('d', 7)",13.57117257597002,1.961733619209899,11.60943895676012
controlRL.png,d,6,"('d', 6)",10.090352923423225,1.8410115503354438,8.24934137308778
controlRL.png,d,5,"('d', 5)",0.0,0.0,0.0
controlRL.png,d,4,"('d', 4)",0.0,0.0,0.0
controlRL.png,d,3,"('d', 3)",0.07042120684343228,0.0,0.07042120684343228
controlRL.png,d,2,"('d', 2)",0.02012034481240922,0.0,0.02012034481240922
controlRL.png,d,1,"('d', 1)",0.030180517218613832,0.0,0.030180517218613832
controlRL.png,e,12,"('e', 12)",2.997931377048974,0.0,2.997931377048974
controlRL.png,e,11,"('e', 11)",28.21878359940393,4.818822582572008,23.399961016831924
controlRL.png,e,10,"('e', 10)",0.7343925856529366,0.0,0.7343925856529366
controlRL.png,e,9,"('e', 9)",30.904849631860564,3.9637079280446166,26.941141703815948
controlRL.png,e,8,"('e', 8)",34.818256697874155,2.8369686185497,31.981288079324457
controlRL.png,e,7,"('e', 7)",0.181083103311683,0.0,0.181083103311683
controlRL.png,e,6,"('e', 6)",9.57728413070679,2.0220946536471267,7.555189477059662
controlRL.png,e,5,"('e', 5)",0.07042120684343228,0.0,0.07042120684343228
